,raw,clean,lemmas,color,gender,keywords
0,Alisha Solid Women's Cycling Shorts,alisha solid womens cycling shorts,alisha solid woman cycling short,[],['woman'],solid woman cycling short alisha solid 
1,FabHomeDecor Fabric Double Sofa Bed,fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed,[],[],fabric double sofa bed fabhomedecor fabric 
2,AW Bellies,aw bellies,aw belly,[],[],belly 
3,Sicons All Purpose Arnica Dog Shampoo,sicons all purpose arnica dog shampoo,sicons all purpose arnica dog shampoo,[],['dog'],arnica dog purpose arnica dog shampoo 
4,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,eternal gandhi super series crystal paper weights  with silver finish,eternal gandhi super series crystal paper weight with silver finish,['silver'],[],gandhi super silver finish eternal gandhi 
5,"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar bellies corporate casuals casuals,dilli bazaaar belly corporate casuals casuals,[],[],belly corporate bazaaar belly dilli bazaaar 
6,Ladela Bellies,ladela bellies,ladela belly,[],[],belly ladela ladela belly 
7,Carrel Printed Women's,carrel printed womens,carrel printed woman,[],['woman'],carrel printed woman carrel printed 
8,Sicons All Purpose Tea Tree Dog Shampoo,sicons all purpose tea tree dog shampoo,sicons all purpose tea tree dog shampoo,[],['dog'],tea tree purpose tea dog shampoo 
9,Freelance Vacuum Bottles 350 ml Bottle,freelance vacuum bottles 350 ml bottle,freelance vacuum bottle 350 ml bottle,[],[],bottle vacuum bottle freelance vacuum 
10,Style Foot Bellies,style foot bellies,style foot belly,[],[],style foot belly style foot 
11,Sicons Conditioning Conditoner Dog Shampoo,sicons conditioning conditoner dog shampoo,sicons conditioning conditoner dog shampoo,[],['dog'],conditioning conditoner dog shampoo sicons conditioning 
12,dongli Printed Boy's Round Neck T-Shirt,dongli printed boys round neck tshirt,dongli printed boy round neck tshirt,[],['boy'],printed boy neck tshirt dongli printed 
13,SWAGGA Women Clogs,swagga women clogs,swagga woman clog,[],['woman'],swagga woman clog swagga woman 
14,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,kennel rubber dumbell with bell  small rubber rubber toy for dog,kennel rubber dumbell with bell small rubber rubber toy for dog,[],['dog'],rubber dumbell kennel rubber bell small 
15,Glus Wedding Lingerie Set,glus wedding lingerie set,glus wedding lingerie set,[],[],wedding lingerie lingerie set glus wedding 
16,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,veelys shiny white quad roller skates  size 45 uk,veelys shiny white quad roller skate size 45 uk,['white'],[],shiny white skate size veelys shiny 
17,Bulaky vanity case Jewellery Vanity Case,bulaky vanity case jewellery vanity case,bulaky vanity case jewellery vanity case,[],[],case jewellery bulaky vanity vanity case 
18,FDT Women's Leggings,fdt womens leggings,fdt woman legging,[],['woman'],fdt woman legging fdt woman 
19,Madcaps C38GR30 Men's Cargos,madcaps c38gr30 mens cargos,madcap c38gr30 men cargo,[],[],men madcap men cargo 
20,Bengal Blooms Rose Artificial Plant  with Pot,bengal blooms rose artificial plant  with pot,bengal bloom rose artificial plant with pot,[],[],rose artificial bloom rose bengal bloom 
21,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,indcrown net embroidered semistitched lehenga choli material,indcrown net embroidered semistitched lehenga choli material,[],[],net embroidered choli material indcrown net 
22,Shopmania Music Band A5 Notebook Spiral Bound,shopmania music band a5 notebook spiral bound,shopmania music band a5 notebook spiral bound,[],[],notebook spiral music band shopmania music 
23,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",tiara diaries 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,tiara diary 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,[],[],hard bound notebook hard tiara diary 
