,raw,clean,lemmas,color,gender
0,Alisha Solid Women's Cycling Shorts,alisha solid womens cycling shorts,alisha solid woman cycling short,[],['woman']
1,FabHomeDecor Fabric Double Sofa Bed,fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed,[],[]
2,AW Bellies,aw bellies,aw belly,[],[]
3,Sicons All Purpose Arnica Dog Shampoo,sicons all purpose arnica dog shampoo,sicons all purpose arnica dog shampoo,[],['dog']
4,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,eternal gandhi super series crystal paper weights  with silver finish,eternal gandhi super series crystal paper weight with silver finish,['silver'],[]
5,"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar bellies corporate casuals casuals,dilli bazaaar belly corporate casuals casuals,[],[]
6,Ladela Bellies,ladela bellies,ladela belly,[],[]
7,Carrel Printed Women's,carrel printed womens,carrel printed woman,[],['woman']
8,Sicons All Purpose Tea Tree Dog Shampoo,sicons all purpose tea tree dog shampoo,sicons all purpose tea tree dog shampoo,[],['dog']
9,Freelance Vacuum Bottles 350 ml Bottle,freelance vacuum bottles 350 ml bottle,freelance vacuum bottle 350 ml bottle,[],[]
10,Style Foot Bellies,style foot bellies,style foot belly,[],[]
11,Sicons Conditioning Conditoner Dog Shampoo,sicons conditioning conditoner dog shampoo,sicons conditioning conditoner dog shampoo,[],['dog']
12,dongli Printed Boy's Round Neck T-Shirt,dongli printed boys round neck tshirt,dongli printed boy round neck tshirt,[],['boy']
13,SWAGGA Women Clogs,swagga women clogs,swagga woman clog,[],['woman']
14,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,kennel rubber dumbell with bell  small rubber rubber toy for dog,kennel rubber dumbell with bell small rubber rubber toy for dog,[],['dog']
15,Glus Wedding Lingerie Set,glus wedding lingerie set,glus wedding lingerie set,[],[]
16,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,veelys shiny white quad roller skates  size 45 uk,veelys shiny white quad roller skate size 45 uk,['white'],[]
17,Bulaky vanity case Jewellery Vanity Case,bulaky vanity case jewellery vanity case,bulaky vanity case jewellery vanity case,[],[]
18,FDT Women's Leggings,fdt womens leggings,fdt woman legging,[],['woman']
19,Madcaps C38GR30 Men's Cargos,madcaps c38gr30 mens cargos,madcap c38gr30 men cargo,[],[]
20,Bengal Blooms Rose Artificial Plant  with Pot,bengal blooms rose artificial plant  with pot,bengal bloom rose artificial plant with pot,[],[]
21,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,indcrown net embroidered semistitched lehenga choli material,indcrown net embroidered semistitched lehenga choli material,[],[]
22,Shopmania Music Band A5 Notebook Spiral Bound,shopmania music band a5 notebook spiral bound,shopmania music band a5 notebook spiral bound,[],[]
23,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",tiara diaries 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,tiara diary 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,[],[]
24,KAJCI Embroidered Women's Waistcoat,kajci embroidered womens waistcoat,kajci embroidered woman waistcoat,[],['woman']
25,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,packman 8 x 10 inches security bags without pod jacket courier bag security bag,packman 8 x 10 inch security bag without pod jacket courier bag security bag,[],[]
26,Pick Pocket Embroidered Women's Waistcoat,pick pocket embroidered womens waistcoat,pick pocket embroidered woman waistcoat,[],['woman']
27,Angelfish Silk Potali Potli,angelfish silk potali potli,angelfish silk potali potli,[],[]
28,Oye Boy's Dungaree,oye boys dungaree,oye boy dungaree,[],['boy']
29,Nuride Canvas Shoes,nuride canvas shoes,nuride canvas shoe,[],[]
30,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,om shivakriti square wall clock showpiece    381 cm,om shivakriti square wall clock showpiece 381 cm,[],[]
31,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,himmlisch st381 magnetic sun shade for maruti alto,himmlisch st381 magnetic sun shade for maruti alto,[],[]
32,Rapter BNC-179 BNC Wire Connector,rapter bnc179 bnc wire connector,rapter bnc179 bnc wire connector,[],[]
33,Vishudh Printed Women's Straight Kurta,vishudh printed womens straight kurta,vishudh printed woman straight kurta,[],['woman']
34,Vishudh Printed Women's Anarkali Kurta,vishudh printed womens anarkali kurta,vishudh printed woman anarkali kurta,[],['woman']
35,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,buildtrack pir wireless motion sensor  one switch control wireless sensor security system,buildtrack pir wireless motion sensor one switch control wireless sensor security system,[],[]
36,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,skayvon summersible single phase pump controller wired sensor security system,skayvon summersible single phase pump controller wired sensor security system,[],[]
37,MASARA Solid Women's Straight Kurta,masara solid womens straight kurta,masara solid woman straight kurta,[],['woman']
38,Rapter BNC-047 BNC Wire Connector,rapter bnc047 bnc wire connector,rapter bnc047 bnc wire connector,[],[]
39,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,skayvon submersibble three phase pump controller wired sensor security system,skayvon submersibble three phase pump controller wired sensor security system,[],[]
40,Behringer Xenyx 502 Analog Sound Mixer,behringer xenyx 502 analog sound mixer,behringer xenyx 502 analog sound mixer,[],[]
41,Roadster Men's Zipper Solid Cardigan,roadster mens zipper solid cardigan,roadster men zipper solid cardigan,[],[]
42,Noor Embroidered Women's Straight Kurta,noor embroidered womens straight kurta,noor embroidered woman straight kurta,[],['woman']
43,Libas Printed Women's A-line Kurta,libas printed womens aline kurta,libas printed woman aline kurta,[],['woman']
44,Libas Printed Women's Anarkali Kurta,libas printed womens anarkali kurta,libas printed woman anarkali kurta,[],['woman']
45,HRS ULTIMATE BOY Chest Pads,hrs ultimate boy chest pads,hr ultimate boy chest pad,[],['boy']
