,Unnamed: 0,raw,clean,lemmas,color,gender,keywords,topic_number,new_topics,topic_label
0,0,Alisha Solid Women's Cycling Shorts,alisha solid womens cycling shorts,alisha solid woman cycling short,[],['woman'],solid woman cycling short alisha solid ,137,5,womens clothing
1,1,FabHomeDecor Fabric Double Sofa Bed,fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed,[],[],fabric double sofa bed fabhomedecor fabric ,41,35,furniture
2,2,AW Bellies,aw bellies,aw belly,[],[],belly ,127,5,womens clothing
3,3,Sicons All Purpose Arnica Dog Shampoo,sicons all purpose arnica dog shampoo,sicons all purpose arnica dog shampoo,[],['dog'],arnica dog purpose arnica dog shampoo ,39,-1,unknown
4,4,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,eternal gandhi super series crystal paper weights  with silver finish,eternal gandhi super series crystal paper weight with silver finish,['silver'],[],gandhi super silver finish eternal gandhi ,83,11,jewelry
5,5,"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar bellies corporate casuals casuals,dilli bazaaar belly corporate casuals casuals,[],[],belly corporate bazaaar belly dilli bazaaar ,127,5,womens clothing
6,6,Ladela Bellies,ladela bellies,ladela belly,[],[],belly ladela ladela belly ,127,5,womens clothing
7,7,Carrel Printed Women's,carrel printed womens,carrel printed woman,[],['woman'],carrel printed woman carrel printed ,-1,-1,unknown
8,8,Sicons All Purpose Tea Tree Dog Shampoo,sicons all purpose tea tree dog shampoo,sicons all purpose tea tree dog shampoo,[],['dog'],tea tree purpose tea dog shampoo ,39,-1,unknown
9,9,Freelance Vacuum Bottles 350 ml Bottle,freelance vacuum bottles 350 ml bottle,freelance vacuum bottle 350 ml bottle,[],[],bottle vacuum bottle freelance vacuum ,249,18,womens clothing
10,10,Style Foot Bellies,style foot bellies,style foot belly,[],[],style foot belly style foot ,-1,-1,unknown
11,11,Sicons Conditioning Conditoner Dog Shampoo,sicons conditioning conditoner dog shampoo,sicons conditioning conditoner dog shampoo,[],['dog'],conditioning conditoner dog shampoo sicons conditioning ,39,-1,unknown
12,12,dongli Printed Boy's Round Neck T-Shirt,dongli printed boys round neck tshirt,dongli printed boy round neck tshirt,[],['boy'],printed boy neck tshirt dongli printed ,92,7,clothing
13,13,SWAGGA Women Clogs,swagga women clogs,swagga woman clog,[],['woman'],swagga woman clog swagga woman ,60,13,womens footwear
14,14,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,kennel rubber dumbell with bell  small rubber rubber toy for dog,kennel rubber dumbell with bell small rubber rubber toy for dog,[],['dog'],rubber dumbell kennel rubber bell small ,-1,-1,unknown
15,15,Glus Wedding Lingerie Set,glus wedding lingerie set,glus wedding lingerie set,[],[],wedding lingerie lingerie set glus wedding ,-1,-1,unknown
16,16,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,veelys shiny white quad roller skates  size 45 uk,veelys shiny white quad roller skate size 45 uk,['white'],[],shiny white skate size veelys shiny ,-1,-1,unknown
17,17,Bulaky vanity case Jewellery Vanity Case,bulaky vanity case jewellery vanity case,bulaky vanity case jewellery vanity case,[],[],case jewellery bulaky vanity vanity case ,262,-1,unknown
18,18,FDT Women's Leggings,fdt womens leggings,fdt woman legging,[],['woman'],fdt woman legging fdt woman ,16,5,womens clothing
19,19,Madcaps C38GR30 Men's Cargos,madcaps c38gr30 mens cargos,madcap c38gr30 men cargo,[],[],men madcap men cargo ,278,45,clothing
20,20,Bengal Blooms Rose Artificial Plant  with Pot,bengal blooms rose artificial plant  with pot,bengal bloom rose artificial plant with pot,[],[],rose artificial bloom rose bengal bloom ,-1,-1,unknown
21,21,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,indcrown net embroidered semistitched lehenga choli material,indcrown net embroidered semistitched lehenga choli material,[],[],net embroidered choli material indcrown net ,43,-1,unknown
22,22,Shopmania Music Band A5 Notebook Spiral Bound,shopmania music band a5 notebook spiral bound,shopmania music band a5 notebook spiral bound,[],[],notebook spiral music band shopmania music ,152,1,art
23,23,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",tiara diaries 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,tiara diary 20162017 designer la kaarta taking action getting result set of 3 b5 notebook hard bound,[],[],hard bound notebook hard tiara diary ,246,1,art
24,24,KAJCI Embroidered Women's Waistcoat,kajci embroidered womens waistcoat,kajci embroidered woman waistcoat,[],['woman'],embroidered woman woman waistcoat kajci embroidered ,208,22,clothing
25,25,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,packman 8 x 10 inches security bags without pod jacket courier bag security bag,packman 8 x 10 inch security bag without pod jacket courier bag security bag,[],[],pod jacket security bag inch security ,-1,-1,unknown
26,26,Pick Pocket Embroidered Women's Waistcoat,pick pocket embroidered womens waistcoat,pick pocket embroidered woman waistcoat,[],['woman'],pocket embroidered woman waistcoat pick pocket ,260,20,bags
27,27,Angelfish Silk Potali Potli,angelfish silk potali potli,angelfish silk potali potli,[],[],silk potali potali potli angelfish silk ,-1,-1,unknown
28,28,Oye Boy's Dungaree,oye boys dungaree,oye boy dungaree,[],['boy'],oye boy dungaree oye boy ,-1,-1,unknown
29,29,Nuride Canvas Shoes,nuride canvas shoes,nuride canvas shoe,[],[],nuride canvas shoe nuride canvas ,223,1,art
30,30,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,om shivakriti square wall clock showpiece    381 cm,om shivakriti square wall clock showpiece 381 cm,[],[],square wall shivakriti square clock showpiece ,200,-1,unknown
31,31,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,himmlisch st381 magnetic sun shade for maruti alto,himmlisch st381 magnetic sun shade for maruti alto,[],[],maruti alto magnetic sun himmlisch ,38,24,unknown
32,32,Rapter BNC-179 BNC Wire Connector,rapter bnc179 bnc wire connector,rapter bnc179 bnc wire connector,[],[],wire connector bnc wire rapter ,-1,-1,unknown
33,33,Vishudh Printed Women's Straight Kurta,vishudh printed womens straight kurta,vishudh printed woman straight kurta,[],['woman'],printed woman straight kurta vishudh printed ,9,22,clothing
34,34,Vishudh Printed Women's Anarkali Kurta,vishudh printed womens anarkali kurta,vishudh printed woman anarkali kurta,[],['woman'],printed woman anarkali kurta vishudh printed ,-1,-1,unknown
35,35,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,buildtrack pir wireless motion sensor  one switch control wireless sensor security system,buildtrack pir wireless motion sensor one switch control wireless sensor security system,[],[],switch control security system buildtrack pir ,106,10,electronics
